customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_charges,churn,contract_type,internet_service_type,payment_type,multiple_lines_no,multiple_lines_no_phone_service,multiple_lines_yes,online_security_no,online_security_no_internet_service,online_security_yes,online_backup_no,online_backup_no_internet_service,online_backup_yes,device_protection_no,device_protection_no_internet_service,device_protection_yes,tech_support_no,tech_support_no_internet_service,tech_support_yes,streaming_tv_no,streaming_tv_no_internet_service,streaming_tv_yes,streaming_movies_no,streaming_movies_no_internet_service,streaming_movies_yes,contract_type_month-to-month,contract_type_one_year,contract_type_two_year,internet_service_type_dsl,internet_service_type_fiber_optic,internet_service_type_none,payment_type_bank_transfer_(automatic),payment_type_credit_card_(automatic),payment_type_electronic_check,payment_type_mailed_check
0002-ORFBO,Female,Non-Senior,Yes,Yes,9,Yes,No,No,Yes,No,Yes,Yes,No,Yes,65.6,593.3,0,One year,DSL,Mailed check,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes
0003-MKNFE,Male,Non-Senior,No,No,9,Yes,Yes,No,No,No,No,No,Yes,No,59.9,542.4,0,Month-to-month,DSL,Mailed check,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes
0004-TLHLJ,Male,Non-Senior,No,No,4,Yes,No,No,No,Yes,No,No,No,Yes,73.9,280.85,1,Month-to-month,Fiber optic,Electronic check,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No
0011-IGKFF,Male,Senior,Yes,No,13,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,98.0,1237.85,1,Month-to-month,Fiber optic,Electronic check,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No
0013-EXCHZ,Female,Senior,Yes,No,3,Yes,No,No,No,No,Yes,Yes,No,Yes,83.9,267.4,1,Month-to-month,Fiber optic,Mailed check,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes
0013-MHZWF,Female,Non-Senior,No,Yes,9,Yes,No,No,No,No,Yes,Yes,Yes,Yes,69.4,571.45,0,Month-to-month,DSL,Credit card (automatic),Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No
0013-SMEOE,Female,Senior,Yes,No,71,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,109.7,7904.25,0,Two year,Fiber optic,Bank transfer (automatic),Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No
0014-BMAQU,Male,Non-Senior,Yes,No,63,Yes,Yes,Yes,No,No,Yes,No,No,Yes,84.65,5377.8,0,Two year,Fiber optic,Credit card (automatic),No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No
0015-UOCOJ,Female,Senior,No,No,7,Yes,No,Yes,No,No,No,No,No,Yes,48.2,340.35,0,Month-to-month,DSL,Electronic check,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No
0016-QLJIS,Female,Non-Senior,Yes,Yes,65,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,90.45,5957.9,0,Two year,DSL,Mailed check,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes
0017-DINOC,Male,Non-Senior,No,No,54,No,No phone service,Yes,No,No,Yes,Yes,No,No,45.2,2460.55,0,Two year,DSL,Credit card (automatic),No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No
0017-IUDMW,Female,Non-Senior,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,116.8,8456.75,0,Two year,Fiber optic,Credit card (automatic),No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No
0018-NYROU,Female,Non-Senior,Yes,No,5,Yes,No,No,No,No,No,No,No,Yes,68.95,351.5,0,Month-to-month,Fiber optic,Electronic check,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No
0019-EFAEP,Female,Non-Senior,No,No,72,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,101.3,7261.25,0,Two year,Fiber optic,Bank transfer (automatic),No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No
0019-GFNTW,Female,Non-Senior,No,No,56,No,No phone service,Yes,Yes,Yes,Yes,No,No,No,45.05,2560.1,0,Two year,DSL,Bank transfer (automatic),No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No
